"Sexo";"Categoría profesional";"Confirmados PDIA";"Confirmados PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Fallecidos";"Curados";"Fecha"
"Hombres";"Personal de ayuda a domicilio";"1";"3";"0";"1";"0";"1";"26/04/2021"
"Hombres";"Personal de oficina de farmacia";"1";"2";"0";"1";"0";"1";"26/04/2021"
"Hombres";"Otra profesión de riesgo";"50";"76";"16";"50";"0";"47";"26/04/2021"
"Mujeres";"Sanitario en centro sanitario";"21";"52";"17";"21";"0";"52";"26/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"7";"23";"8";"7";"0";"10";"26/04/2021"
"Mujeres";"Sanitario en otro centro";"7";"11";"1";"7";"0";"10";"26/04/2021"
"Mujeres";"No sanitario en centro sanitario";"8";"8";"4";"8";"0";"5";"26/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"8";"14";"7";"8";"0";"14";"26/04/2021"
"Mujeres";"Atención al público";"1";"9";"2";"1";"0";"1";"26/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"6";"7";"1";"6";"0";"4";"26/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"17";"32";"9";"17";"0";"32";"26/04/2021"
"Mujeres";"Personal de oficina de farmacia";"1";"2";"0";"1";"0";"4";"26/04/2021"
"Mujeres";"Otra profesión de riesgo";"114";"154";"46";"114";"0";"97";"26/04/2021"
"Hombres";"Sanitario en centro sanitario";"3";"11";"1";"3";"0";"8";"27/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"2";"1";"0";"0";"0";"27/04/2021"
"Hombres";"Sanitario en otro centro";"0";"1";"0";"0";"0";"0";"27/04/2021"
"Hombres";"No sanitario en centro sanitario";"0";"2";"1";"0";"0";"0";"27/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"5";"2";"0";"0";"1";"27/04/2021"
"Hombres";"Atención al público";"0";"3";"1";"0";"0";"0";"27/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"40";"9";"0";"0";"15";"27/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"3";"0";"0";"0";"0";"27/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"1";"0";"0";"0";"0";"27/04/2021"
"Hombres";"Otra profesión de riesgo";"1";"70";"13";"1";"0";"19";"27/04/2021"
"Mujeres";"Sanitario en centro sanitario";"4";"52";"16";"4";"0";"19";"27/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"1";"22";"7";"1";"0";"6";"27/04/2021"
"Mujeres";"Sanitario en otro centro";"0";"9";"1";"0";"0";"6";"27/04/2021"
"Mujeres";"No sanitario en centro sanitario";"2";"9";"5";"2";"0";"4";"27/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"2";"13";"6";"2";"0";"9";"27/04/2021"
"Mujeres";"Atención al público";"1";"8";"3";"1";"0";"2";"27/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"6";"0";"0";"0";"2";"27/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"1";"29";"8";"1";"0";"9";"27/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"2";"0";"0";"0";"0";"27/04/2021"
"Mujeres";"Otra profesión de riesgo";"0";"139";"29";"0";"0";"39";"27/04/2021"
"Hombres";"Sanitario en centro sanitario";"0";"11";"1";"0";"0";"4";"28/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"2";"0";"0";"0";"0";"28/04/2021"
"Hombres";"Sanitario en otro centro";"0";"1";"0";"0";"0";"0";"28/04/2021"
"Hombres";"No sanitario en centro sanitario";"0";"2";"0";"0";"0";"1";"28/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"4";"1";"0";"0";"0";"28/04/2021"
"Hombres";"Atención al público";"2";"5";"3";"2";"0";"1";"28/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"37";"4";"0";"0";"6";"28/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"2";"0";"0";"0";"0";"28/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"1";"0";"0";"0";"0";"28/04/2021"
"Hombres";"Otra profesión de riesgo";"2";"65";"8";"2";"0";"14";"28/04/2021"
"Mujeres";"Sanitario en centro sanitario";"1";"42";"11";"1";"0";"7";"28/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"0";"20";"3";"0";"0";"3";"28/04/2021"
"Mujeres";"Sanitario en otro centro";"0";"8";"1";"0";"0";"2";"28/04/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"7";"3";"0";"0";"0";"28/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"1";"12";"3";"1";"0";"4";"28/04/2021"
"Mujeres";"Atención al público";"0";"5";"3";"0";"0";"0";"28/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"6";"0";"0";"0";"2";"28/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"25";"6";"0";"0";"8";"28/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"1";"0";"0";"0";"1";"28/04/2021"
"Mujeres";"Otra profesión de riesgo";"2";"121";"15";"2";"0";"30";"28/04/2021"
"Hombres";"Sanitario en centro sanitario";"0";"8";"0";"0";"0";"3";"29/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"1";"0";"0";"0";"2";"29/04/2021"
"Hombres";"Sanitario en otro centro";"0";"1";"0";"0";"0";"1";"29/04/2021"
"Hombres";"No sanitario en centro sanitario";"0";"1";"0";"0";"0";"1";"29/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"4";"0";"0";"0";"2";"29/04/2021"
"Hombres";"Atención al público";"4";"8";"6";"4";"0";"1";"29/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"34";"3";"0";"0";"19";"29/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"1";"0";"0";"0";"0";"29/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"1";"0";"0";"0";"1";"29/04/2021"
"Hombres";"Otra profesión de riesgo";"0";"52";"2";"0";"0";"11";"29/04/2021"
"Mujeres";"Sanitario en centro sanitario";"4";"38";"14";"4";"0";"7";"29/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"2";"19";"2";"2";"0";"4";"29/04/2021"
"Mujeres";"Sanitario en otro centro";"0";"7";"0";"0";"0";"3";"29/04/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"5";"3";"0";"0";"1";"29/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"0";"12";"2";"0";"0";"2";"29/04/2021"
"Mujeres";"Atención al público";"0";"5";"2";"0";"0";"2";"29/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"4";"0";"0";"0";"1";"29/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"22";"3";"0";"0";"16";"29/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"1";"0";"0";"0";"0";"29/04/2021"
"Mujeres";"Otra profesión de riesgo";"0";"107";"3";"0";"0";"33";"29/04/2021"
"Hombres";"Sanitario en centro sanitario";"0";"5";"0";"0";"0";"0";"30/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"1";"0";"0";"0";"1";"30/04/2021"
"Hombres";"Sanitario en otro centro";"0";"1";"0";"0";"0";"1";"30/04/2021"
"Hombres";"No sanitario en centro sanitario";"0";"1";"0";"0";"0";"0";"30/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"1";"4";"1";"1";"0";"1";"30/04/2021"
"Hombres";"Atención al público";"1";"9";"6";"1";"0";"0";"30/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"2";"32";"3";"2";"0";"9";"30/04/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"1";"0";"0";"0";"0";"30/04/2021"
"Hombres";"Personal de oficina de farmacia";"0";"1";"0";"0";"0";"0";"30/04/2021"
"Hombres";"Otra profesión de riesgo";"3";"37";"2";"3";"0";"18";"30/04/2021"
"Mujeres";"Sanitario en centro sanitario";"5";"40";"17";"5";"0";"4";"30/04/2021"
"Mujeres";"Sanitario en centro sociosanitario";"0";"14";"2";"0";"0";"2";"30/04/2021"
"Mujeres";"Sanitario en otro centro";"1";"5";"1";"1";"0";"3";"30/04/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"5";"1";"0";"0";"1";"30/04/2021"
"Mujeres";"No sanitario en centro sociosanitario";"2";"12";"4";"2";"0";"6";"30/04/2021"
"Mujeres";"Atención al público";"1";"5";"2";"1";"0";"0";"30/04/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"2";"0";"0";"0";"4";"30/04/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"17";"1";"0";"0";"11";"30/04/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"2";"30/04/2021"
"Mujeres";"Otra profesión de riesgo";"5";"80";"1";"5";"1";"43";"30/04/2021"
"Hombres";"Sanitario en centro sanitario";"1";"5";"1";"1";"0";"7";"03/05/2021"
"Hombres";"Sanitario en centro sociosanitario";"1";"1";"0";"1";"0";"1";"03/05/2021"
"Hombres";"Sanitario en otro centro";"0";"0";"0";"0";"0";"3";"03/05/2021"
"Hombres";"No sanitario en centro sanitario";"0";"1";"0";"0";"0";"2";"03/05/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"3";"1";"0";"0";"5";"03/05/2021"
"Hombres";"Atención al público";"1";"8";"6";"1";"0";"3";"03/05/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"15";"1";"0";"0";"38";"03/05/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"0";"0";"0";"0";"1";"03/05/2021"
"Hombres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"2";"03/05/2021"
"Hombres";"Otra profesión de riesgo";"0";"17";"1";"0";"0";"43";"03/05/2021"
"Mujeres";"Sanitario en centro sanitario";"6";"35";"15";"6";"0";"29";"03/05/2021"
"Mujeres";"Sanitario en centro sociosanitario";"1";"11";"2";"1";"0";"14";"03/05/2021"
"Mujeres";"Sanitario en otro centro";"1";"3";"2";"1";"0";"3";"03/05/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"5";"0";"0";"0";"3";"03/05/2021"
"Mujeres";"No sanitario en centro sociosanitario";"0";"10";"2";"0";"0";"12";"03/05/2021"
"Mujeres";"Atención al público";"0";"4";"1";"0";"0";"2";"03/05/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"1";"0";"0";"0";"10";"03/05/2021"
"Mujeres";"Personal de ayuda a domicilio";"1";"11";"1";"1";"0";"19";"03/05/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"3";"03/05/2021"
"Mujeres";"Otra profesión de riesgo";"0";"47";"1";"0";"0";"67";"03/05/2021"
"Hombres";"Sanitario en centro sanitario";"2";"3";"2";"2";"0";"11";"04/05/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"1";"0";"0";"0";"1";"04/05/2021"
"Hombres";"Sanitario en otro centro";"0";"0";"0";"0";"0";"1";"04/05/2021"
"Hombres";"No sanitario en centro sanitario";"0";"1";"0";"0";"0";"0";"04/05/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"3";"1";"0";"0";"1";"04/05/2021"
"Hombres";"Atención al público";"1";"9";"7";"1";"0";"0";"04/05/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"10";"1";"0";"0";"7";"04/05/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"0";"0";"0";"0";"1";"04/05/2021"
"Hombres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"1";"04/05/2021"
"Hombres";"Otra profesión de riesgo";"0";"15";"0";"0";"0";"15";"04/05/2021"
"Mujeres";"Sanitario en centro sanitario";"2";"32";"15";"2";"0";"11";"04/05/2021"
"Mujeres";"Sanitario en centro sociosanitario";"1";"10";"3";"1";"0";"5";"04/05/2021"
"Mujeres";"Sanitario en otro centro";"0";"3";"2";"0";"0";"3";"04/05/2021"
"Mujeres";"No sanitario en centro sanitario";"1";"6";"1";"1";"0";"2";"04/05/2021"
"Mujeres";"No sanitario en centro sociosanitario";"0";"8";"2";"0";"0";"4";"04/05/2021"
"Mujeres";"Atención al público";"0";"4";"1";"0";"0";"0";"04/05/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"0";"0";"0";"0";"1";"04/05/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"9";"1";"0";"0";"1";"04/05/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"1";"04/05/2021"
"Mujeres";"Otra profesión de riesgo";"0";"30";"0";"0";"0";"31";"04/05/2021"
"Hombres";"Sanitario en centro sanitario";"1";"4";"3";"1";"0";"4";"05/05/2021"
"Hombres";"Sanitario en centro sociosanitario";"1";"1";"1";"1";"0";"0";"05/05/2021"
"Hombres";"Sanitario en otro centro";"0";"0";"0";"0";"0";"2";"05/05/2021"
"Hombres";"No sanitario en centro sanitario";"0";"0";"0";"0";"0";"0";"05/05/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"2";"1";"0";"0";"1";"05/05/2021"
"Hombres";"Atención al público";"1";"9";"5";"1";"0";"0";"05/05/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"5";"1";"0";"0";"9";"05/05/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"0";"0";"0";"0";"2";"05/05/2021"
"Hombres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"1";"05/05/2021"
"Hombres";"Otra profesión de riesgo";"1";"9";"1";"1";"0";"7";"05/05/2021"
"Mujeres";"Sanitario en centro sanitario";"4";"30";"16";"4";"0";"7";"05/05/2021"
"Mujeres";"Sanitario en centro sociosanitario";"1";"7";"3";"1";"0";"5";"05/05/2021"
"Mujeres";"Sanitario en otro centro";"1";"4";"3";"1";"0";"1";"05/05/2021"
"Mujeres";"No sanitario en centro sanitario";"2";"6";"3";"2";"0";"0";"05/05/2021"
"Mujeres";"No sanitario en centro sociosanitario";"1";"5";"2";"1";"0";"6";"05/05/2021"
"Mujeres";"Atención al público";"0";"4";"0";"0";"0";"0";"05/05/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"0";"0";"0";"0";"0";"05/05/2021"
"Mujeres";"Personal de ayuda a domicilio";"3";"10";"2";"3";"0";"7";"05/05/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"1";"05/05/2021"
"Mujeres";"Otra profesión de riesgo";"2";"17";"2";"2";"0";"31";"05/05/2021"
"Hombres";"Sanitario en centro sanitario";"1";"4";"3";"1";"0";"3";"06/05/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"1";"1";"0";"0";"0";"06/05/2021"
"Hombres";"Sanitario en otro centro";"0";"0";"0";"0";"0";"0";"06/05/2021"
"Hombres";"No sanitario en centro sanitario";"0";"0";"0";"0";"0";"0";"06/05/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"1";"1";"0";"0";"3";"06/05/2021"
"Hombres";"Atención al público";"0";"9";"3";"0";"0";"0";"06/05/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"4";"1";"0";"0";"8";"06/05/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"0";"0";"0";"0";"0";"06/05/2021"
"Hombres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"0";"06/05/2021"
"Hombres";"Otra profesión de riesgo";"0";"3";"1";"0";"0";"12";"06/05/2021"
"Mujeres";"Sanitario en centro sanitario";"5";"34";"16";"5";"0";"21";"06/05/2021"
"Mujeres";"Sanitario en centro sociosanitario";"0";"5";"3";"0";"0";"5";"06/05/2021"
"Mujeres";"Sanitario en otro centro";"0";"3";"2";"0";"0";"3";"06/05/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"6";"3";"0";"0";"0";"06/05/2021"
"Mujeres";"No sanitario en centro sociosanitario";"1";"5";"2";"1";"0";"4";"06/05/2021"
"Mujeres";"Atención al público";"2";"5";"2";"2";"0";"2";"06/05/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"0";"0";"0";"0";"0";"06/05/2021"
"Mujeres";"Personal de ayuda a domicilio";"1";"8";"3";"1";"0";"5";"06/05/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"2";"06/05/2021"
"Mujeres";"Otra profesión de riesgo";"1";"6";"3";"1";"0";"22";"06/05/2021"
"Hombres";"Sanitario en centro sanitario";"0";"4";"2";"0";"0";"3";"07/05/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"1";"1";"0";"0";"0";"07/05/2021"
"Hombres";"Sanitario en otro centro";"0";"0";"0";"0";"0";"1";"07/05/2021"
"Hombres";"No sanitario en centro sanitario";"0";"0";"0";"0";"0";"1";"07/05/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"1";"0";"0";"0";"2";"07/05/2021"
"Hombres";"Atención al público";"1";"9";"2";"1";"0";"3";"07/05/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"3";"0";"0";"0";"25";"07/05/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"0";"0";"0";"0";"0";"07/05/2021"
"Hombres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"0";"07/05/2021"
"Hombres";"Otra profesión de riesgo";"3";"3";"1";"3";"0";"14";"07/05/2021"
"Mujeres";"Sanitario en centro sanitario";"3";"34";"14";"3";"0";"11";"07/05/2021"
"Mujeres";"Sanitario en centro sociosanitario";"0";"5";"1";"0";"0";"5";"07/05/2021"
"Mujeres";"Sanitario en otro centro";"0";"3";"1";"0";"0";"3";"07/05/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"4";"2";"0";"0";"0";"07/05/2021"
"Mujeres";"No sanitario en centro sociosanitario";"1";"5";"1";"1";"0";"11";"07/05/2021"
"Mujeres";"Atención al público";"1";"5";"3";"1";"0";"1";"07/05/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"0";"0";"0";"0";"1";"07/05/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"5";"2";"0";"0";"5";"07/05/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"2";"07/05/2021"
"Mujeres";"Otra profesión de riesgo";"6";"4";"2";"6";"0";"27";"07/05/2021"
"Hombres";"Sanitario en centro sanitario";"2";"6";"4";"2";"0";"6";"10/05/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"1";"1";"0";"0";"0";"10/05/2021"
"Hombres";"Sanitario en otro centro";"1";"1";"0";"1";"0";"7";"10/05/2021"
"Hombres";"No sanitario en centro sanitario";"0";"0";"0";"0";"0";"4";"10/05/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"1";"0";"0";"0";"7";"10/05/2021"
"Hombres";"Atención al público";"1";"9";"2";"1";"0";"1";"10/05/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"26";"14";"5";"26";"0";"17";"10/05/2021"
"Hombres";"Personal de ayuda a domicilio";"5";"4";"1";"5";"0";"2";"10/05/2021"
"Hombres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"2";"10/05/2021"
"Hombres";"Otra profesión de riesgo";"66";"47";"19";"66";"0";"45";"10/05/2021"
"Mujeres";"Sanitario en centro sanitario";"1";"27";"11";"1";"0";"38";"10/05/2021"
"Mujeres";"Sanitario en centro sociosanitario";"1";"4";"1";"1";"0";"12";"10/05/2021"
"Mujeres";"Sanitario en otro centro";"0";"3";"0";"0";"0";"5";"10/05/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"3";"2";"0";"0";"5";"10/05/2021"
"Mujeres";"No sanitario en centro sociosanitario";"1";"4";"2";"1";"0";"9";"10/05/2021"
"Mujeres";"Atención al público";"0";"4";"3";"0";"0";"4";"10/05/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"7";"5";"2";"7";"0";"3";"10/05/2021"
"Mujeres";"Personal de ayuda a domicilio";"39";"27";"12";"39";"0";"16";"10/05/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"4";"10/05/2021"
"Mujeres";"Otra profesión de riesgo";"141";"104";"30";"141";"0";"91";"10/05/2021"
"Hombres";"Sanitario en centro sanitario";"0";"6";"4";"0";"0";"5";"11/05/2021"
"Hombres";"Sanitario en centro sociosanitario";"1";"2";"1";"1";"0";"0";"11/05/2021"
"Hombres";"Sanitario en otro centro";"1";"2";"1";"1";"0";"0";"11/05/2021"
"Hombres";"No sanitario en centro sanitario";"0";"0";"0";"0";"0";"0";"11/05/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"1";"0";"0";"0";"1";"11/05/2021"
"Hombres";"Atención al público";"0";"9";"1";"0";"0";"0";"11/05/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"1";"13";"4";"1";"0";"6";"11/05/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"3";"0";"0";"0";"1";"11/05/2021"
"Hombres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"1";"11/05/2021"
"Hombres";"Otra profesión de riesgo";"1";"42";"15";"1";"0";"18";"11/05/2021"
"Mujeres";"Sanitario en centro sanitario";"2";"28";"11";"2";"0";"10";"11/05/2021"
"Mujeres";"Sanitario en centro sociosanitario";"3";"7";"4";"3";"0";"2";"11/05/2021"
"Mujeres";"Sanitario en otro centro";"0";"3";"0";"0";"0";"2";"11/05/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"3";"0";"0";"0";"1";"11/05/2021"
"Mujeres";"No sanitario en centro sociosanitario";"0";"4";"2";"0";"0";"2";"11/05/2021"
"Mujeres";"Atención al público";"0";"4";"2";"0";"0";"4";"11/05/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"4";"2";"0";"0";"0";"11/05/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"25";"8";"0";"0";"9";"11/05/2021"
"Mujeres";"Personal de oficina de farmacia";"0";"0";"0";"0";"0";"1";"11/05/2021"
"Mujeres";"Otra profesión de riesgo";"1";"93";"20";"1";"0";"32";"11/05/2021"
